id,user,uid,version,changeset,timestamp
24676245,katpatuka,17497,2,36135,2008-06-03T11:52:59Z
24676246,vignesh anand,1233267,3,15431358,2013-03-20T13:03:43Z
24709831,katpatuka,17497,7,17193430,2013-08-02T15:30:25Z
24709851,katpatuka,17497,2,17193430,2013-08-02T15:30:24Z
24709852,katpatuka,17497,5,17193430,2013-08-02T15:30:23Z
24709860,katpatuka,17497,1,60847,2008-06-05T10:46:09Z
24709862,katpatuka,17497,2,60847,2008-06-05T10:49:20Z
24709908,katpatuka,17497,1,60847,2008-06-05T10:49:55Z
24709924,erkinalp,113816,6,13351415,2012-10-03T18:15:17Z
24709927,katpatuka,17497,2,6378600,2010-11-15T16:54:46Z
24709931,katpatuka,17497,1,60847,2008-06-05T10:51:38Z
24710067,katpatuka,17497,2,17193430,2013-08-02T15:30:22Z
24710068,katpatuka,17497,5,20637903,2014-02-18T14:34:20Z
24710098,katpatuka,17497,2,60847,2008-06-05T10:59:34Z
24710138,katpatuka,17497,4,20637744,2014-02-18T14:27:54Z
24710139,katpatuka,17497,2,60847,2008-06-05T11:02:09Z
24710159,katpatuka,17497,6,20637744,2014-02-18T14:27:54Z
24710167,katpatuka,17497,3,17193430,2013-08-02T15:30:27Z
24710201,Nesim,1386706,3,35071426,2015-11-04T05:51:37Z
24710211,katpatuka,17497,4,17193430,2013-08-02T15:30:25Z
24710212,katpatuka,17497,2,60847,2008-06-05T11:05:56Z
24710213,katpatuka,17497,1,60847,2008-06-05T11:05:50Z
24710214,katpatuka,17497,4,60847,2008-06-05T11:12:07Z
24710221,katpatuka,17497,4,60847,2008-06-05T11:06:59Z
24710222,katpatuka,17497,1,60847,2008-06-05T11:06:27Z
24710228,katpatuka,17497,5,60847,2008-06-05T11:07:56Z
24710230,katpatuka,17497,1,60847,2008-06-05T11:07:21Z
24710231,katpatuka,17497,1,60847,2008-06-05T11:07:29Z
24710232,katpatuka,17497,1,60847,2008-06-05T11:07:38Z
24710234,katpatuka,17497,1,60847,2008-06-05T11:07:46Z
24710240,katpatuka,17497,1,60847,2008-06-05T11:07:52Z
24710251,katpatuka,17497,2,60847,2008-06-05T11:08:53Z
24710295,katpatuka,17497,1,60847,2008-06-05T11:09:28Z
24710298,katpatuka,17497,1,60847,2008-06-05T11:09:29Z
24710364,Roman Fischer,78090,3,4455774,2010-04-18T09:35:20Z
24710365,katpatuka,17497,1,60847,2008-06-05T11:09:50Z
24710368,katpatuka,17497,1,60847,2008-06-05T11:10:33Z
24710373,katpatuka,17497,2,60847,2008-06-05T11:10:56Z
24710380,katpatuka,17497,3,60847,2008-06-05T11:11:44Z
24710385,katpatuka,17497,1,60847,2008-06-05T11:11:25Z
24710386,katpatuka,17497,1,60847,2008-06-05T11:11:25Z
24710390,katpatuka,17497,1,60847,2008-06-05T11:11:43Z
24710397,katpatuka,17497,4,17193430,2013-08-02T15:30:24Z
24710398,katpatuka,17497,2,17193430,2013-08-02T15:30:20Z
24710400,katpatuka,17497,3,17193430,2013-08-02T15:30:26Z
